temperature_C,concentration_M,residence_time_min,pH,equiv_oxidant,stirring_rpm,catalyst,solvent,yield_pct,impurity_pct
78.35,0.609,21.73,3.49,1.68,953,None,DMF,100.0,19.8
70.11,1.252,13.78,4.66,0.14,373,None,IPA,98.81,11.24
118.93,1.884,41.82,2.11,2.17,1077,None,MeCN,89.26,39.68
97.42,0.755,41.52,3.37,0.06,476,None,IPA,100.0,25.35
116.1,1.158,32.81,5.47,1.33,328,B,DMF,100.0,26.7
49.48,0.663,56.16,9.92,2.24,1176,C,THF,100.0,29.46
108.04,0.423,23.74,9.97,1.43,402,C,MeCN,100.0,29.72
90.97,0.471,50.32,9.83,1.52,337,C,MeCN,100.0,29.75
49.75,0.21,5.43,5.1,1.7,826,C,IPA,94.52,18.87
87.06,1.904,44.65,2.19,0.31,519,A,IPA,100.0,26.71
94.89,0.865,59.32,4.25,1.69,333,A,MeCN,100.0,24.88
40.98,1.685,50.95,3.52,2.2,801,B,IPA,92.54,23.49
76.35,1.395,35.2,1.62,2.44,959,A,IPA,100.0,22.55
106.03,0.465,37.98,2.31,1.11,993,B,MeCN,100.0,30.67
63.63,0.433,21.84,5.35,0.86,356,C,MeCN,100.0,15.28
76.68,1.643,41.09,4.39,1.88,757,None,THF,96.32,21.8
75.39,0.603,46.45,3.03,1.36,1014,C,DMF,100.0,26.36
64.15,1.835,59.9,7.59,0.64,361,C,DMF,98.19,22.32
113.48,0.366,30.06,4.54,0.43,408,B,THF,100.0,23.36
102.5,1.388,4.62,8.74,0.43,202,A,MeCN,100.0,23.69
48.85,1.648,36.16,3.55,1.15,725,A,DMF,85.18,23.31
119.76,0.547,8.02,6.08,0.43,395,None,DMF,94.43,19.06
110.34,0.625,15.44,3.07,0.05,924,A,IPA,100.0,26.27
62.71,1.933,20.4,5.71,0.13,1162,B,IPA,99.47,11.32
106.95,0.603,44.13,2.8,2.32,409,B,MeCN,100.0,34.98
48.51,0.917,11.84,2.87,0.18,849,None,DMF,83.35,20.62
119.93,0.922,10.78,6.7,0.18,412,B,DMF,100.0,22.15
93.25,0.581,3.65,3.74,1.13,218,C,MeCN,100.0,15.83
92.01,1.574,52.52,2.97,0.61,959,None,THF,100.0,27.14
47.24,1.567,41.92,9.4,2.41,634,None,IPA,78.84,26.2
111.76,0.819,3.36,1.87,2.28,1147,C,THF,100.0,26.1
42.32,1.687,2.67,6.3,1.01,734,B,MeCN,99.08,14.4
59.27,0.505,33.96,6.16,1.12,357,B,DMF,100.0,19.9
51.44,0.108,17.67,3.63,0.94,650,C,IPA,94.7,18.95
102.14,1.185,36.21,5.35,0.09,403,B,DMF,100.0,23.63
55.86,1.989,26.64,2.25,0.73,1078,B,MeCN,85.7,21.67
112.85,0.173,55.48,7.63,0.31,891,None,THF,88.93,31.35
92.5,0.495,17.98,3.38,0.26,541,C,IPA,100.0,16.5
42.89,1.086,41.07,3.14,1.4,728,C,DMF,100.0,23.16
40.43,1.639,4.19,4.18,0.25,869,A,THF,99.6,11.39
44.13,0.269,57.4,9.17,0.26,983,B,THF,91.63,25.0
88.47,0.851,58.86,8.27,1.2,280,B,MeCN,100.0,27.4
104.12,1.519,44.61,9.55,1.11,223,None,THF,88.8,33.42
59.08,0.806,28.45,7.04,0.34,314,None,MeCN,100.0,20.98
107.95,0.459,13.98,7.13,0.01,595,B,IPA,100.0,19.38
44.58,0.471,48.94,5.58,0.48,667,B,MeCN,100.0,18.91
104.08,0.879,44.44,9.19,0.59,336,B,MeCN,100.0,28.22
114.22,1.011,14.1,5.84,2.0,611,A,THF,100.0,25.14
101.77,1.737,27.62,4.52,2.29,642,C,MeCN,100.0,24.64
95.85,1.32,28.31,6.94,1.01,309,A,THF,100.0,22.46
107.04,1.412,49.76,6.14,1.01,1117,None,DMF,89.76,28.94
43.21,1.968,41.35,2.55,1.78,799,None,MeCN,85.75,27.26
56.14,0.883,38.95,4.84,1.57,589,C,THF,100.0,20.27
49.99,0.866,39.34,4.16,0.46,707,B,IPA,100.0,15.22
80.36,1.854,16.96,8.7,0.27,514,A,IPA,100.0,17.88
99.62,0.567,22.93,4.72,1.09,1054,None,THF,100.0,20.36
90.4,1.487,3.69,8.48,1.41,775,None,THF,100.0,23.56
108.09,1.534,47.43,5.26,0.35,695,None,THF,89.44,28.9
52.42,0.286,26.55,7.9,0.73,1111,None,MeCN,91.84,18.7
98.77,0.99,26.86,2.65,0.76,1038,B,THF,100.0,24.48
55.44,0.481,15.48,9.36,0.65,1013,None,IPA,88.01,17.64
61.66,0.452,13.36,5.58,1.15,426,None,IPA,90.95,17.17
96.79,0.981,35.68,3.71,1.63,353,A,DMF,100.0,24.94
118.42,0.65,14.72,3.55,1.27,890,B,MeCN,100.0,27.04
88.92,1.613,4.79,3.75,0.5,669,A,IPA,100.0,19.07
44.36,1.824,46.28,4.62,0.26,884,None,IPA,81.81,19.23
89.3,1.625,23.21,7.6,2.05,961,B,MeCN,100.0,19.27
43.39,0.605,23.43,9.57,1.2,495,A,DMF,100.0,21.12
110.73,0.621,26.45,7.19,0.16,485,None,IPA,100.0,23.49
96.77,0.584,49.09,6.15,0.65,691,B,THF,100.0,23.74
53.85,0.357,19.93,5.31,2.01,474,C,IPA,100.0,18.27
47.34,1.893,45.72,8.54,1.88,867,B,DMF,80.36,30.95
54.68,0.864,56.43,8.72,2.19,947,None,THF,90.53,32.8
118.4,0.527,39.99,3.99,1.51,672,A,IPA,100.0,29.56
76.68,1.709,26.47,9.6,1.06,924,B,DMF,100.0,17.26
102.73,0.858,45.12,4.86,1.07,710,C,DMF,100.0,27.52
90.91,0.167,28.02,8.3,0.49,913,C,THF,100.0,19.34
85.79,0.408,25.45,9.72,1.63,425,C,MeCN,100.0,22.03
51.61,1.315,31.99,7.48,1.46,939,C,THF,100.0,21.12
115.68,1.588,19.75,2.87,0.39,915,B,THF,100.0,24.13
64.11,0.501,7.15,6.48,2.21,467,B,IPA,100.0,18.07
86.24,1.843,25.48,2.51,0.92,756,B,MeCN,100.0,21.96
95.98,1.717,8.31,8.21,0.12,1055,B,THF,100.0,22.97
91.94,1.712,25.22,3.89,0.82,450,B,DMF,100.0,19.25
115.25,0.533,33.86,7.41,2.17,936,None,IPA,100.0,26.09
51.88,0.196,55.91,9.24,2.29,1154,C,IPA,96.98,34.49
80.67,1.748,3.14,3.04,1.23,1066,None,MeCN,97.72,20.29
72.32,0.681,37.67,4.84,2.39,602,A,THF,100.0,17.87
77.93,1.276,28.01,7.0,2.19,807,A,DMF,100.0,17.63
49.54,1.544,2.2,5.07,2.06,1192,C,DMF,90.78,19.32
50.73,0.344,15.72,2.99,2.15,768,None,IPA,85.76,25.46
62.25,1.584,7.99,1.75,0.95,315,A,MeCN,100.0,18.58
64.38,1.883,13.79,4.96,1.89,245,A,IPA,100.0,20.27
74.23,1.484,17.2,7.02,1.44,990,None,DMF,95.58,13.82
88.88,0.938,24.68,6.38,1.8,624,None,MeCN,100.0,16.03
90.77,1.766,32.21,2.83,0.44,447,A,MeCN,100.0,19.0
72.94,1.102,1.06,5.33,1.83,548,C,DMF,100.0,14.34
72.7,1.515,10.55,4.64,2.39,957,A,THF,100.0,20.34
57.41,1.659,6.52,3.83,0.76,665,C,MeCN,100.0,20.27
87.06,1.524,33.43,7.7,2.47,1068,B,MeCN,100.0,22.7
65.36,0.647,20.42,4.13,0.95,935,C,IPA,100.0,13.14
42.88,0.324,33.36,6.09,0.5,1174,C,THF,100.0,14.31
73.47,0.553,14.09,9.35,0.28,1089,B,DMF,100.0,18.55
77.93,1.055,2.43,6.08,1.96,455,B,DMF,100.0,13.56
58.05,1.06,56.54,6.74,1.39,859,None,IPA,96.43,23.79
85.8,1.207,7.39,2.12,0.77,221,B,IPA,100.0,21.42
85.26,0.851,8.48,3.01,1.52,1191,None,DMF,100.0,19.09
96.16,1.595,9.65,2.36,0.83,461,B,DMF,100.0,23.68
91.84,1.835,58.9,8.0,1.12,865,B,MeCN,100.0,28.41
92.19,0.569,37.44,8.61,2.16,1049,C,THF,100.0,28.41
65.3,1.499,37.01,3.08,1.67,360,B,THF,99.11,23.85
102.99,1.388,59.22,3.36,1.91,1048,A,MeCN,100.0,35.39
83.93,1.094,6.22,4.25,1.46,212,A,DMF,100.0,18.14
74.51,0.458,58.5,6.52,2.48,642,B,IPA,100.0,27.94
90.08,1.611,13.04,6.79,0.6,672,A,THF,100.0,16.08
68.85,1.925,37.76,7.34,0.66,574,A,IPA,100.0,18.51
81.02,1.471,25.78,9.19,0.23,786,A,THF,100.0,22.23
98.94,1.844,23.65,4.01,1.39,1115,B,DMF,98.83,22.84
110.91,1.97,55.94,7.1,1.53,527,None,IPA,85.92,31.66
113.68,0.769,9.8,6.26,1.81,779,B,IPA,100.0,25.31
80.29,1.313,59.83,4.1,0.84,1077,A,DMF,100.0,24.18
81.62,1.0,23.37,9.21,0.03,973,A,DMF,100.0,19.17
103.99,1.975,39.28,2.31,1.58,241,A,DMF,96.78,35.07
65.16,0.278,58.11,7.55,2.5,1143,None,DMF,84.49,25.65
106.99,0.884,4.4,7.69,0.74,247,B,THF,100.0,23.33
79.53,1.764,55.45,9.28,0.46,789,B,DMF,100.0,28.61
49.27,0.64,34.5,5.91,0.7,775,C,DMF,100.0,14.36
45.76,1.597,42.56,4.23,1.06,986,A,MeCN,97.89,20.16
107.36,0.827,9.8,8.54,0.63,348,B,THF,100.0,25.42
44.45,1.962,32.47,8.05,0.87,379,B,MeCN,96.94,18.54
62.45,1.779,40.74,5.75,1.6,952,B,THF,100.0,22.49
66.73,0.673,27.92,8.03,0.86,350,B,IPA,100.0,18.62
53.84,1.563,10.14,3.78,0.99,669,C,IPA,94.84,18.57
65.11,0.74,15.4,6.51,0.1,932,C,DMF,100.0,10.98
99.42,1.252,51.41,8.85,2.29,851,None,THF,100.0,33.29
41.17,1.351,3.03,4.2,1.02,411,A,THF,100.0,15.61
106.17,1.676,42.82,5.61,0.82,504,B,DMF,100.0,26.59
108.52,0.146,59.96,9.58,0.22,1169,B,MeCN,100.0,36.82
69.78,0.518,1.44,8.28,1.59,649,A,THF,100.0,24.36
52.29,1.453,10.5,9.04,2.16,244,None,MeCN,93.86,28.94
88.07,1.171,40.77,4.77,0.1,420,B,MeCN,100.0,15.42
49.57,1.042,4.54,9.97,0.36,542,B,MeCN,100.0,17.77
69.19,0.205,35.8,2.8,0.37,1199,None,THF,91.1,22.69
116.67,0.762,41.36,5.91,1.51,503,B,THF,100.0,30.23
119.64,1.744,35.7,5.57,2.3,226,C,DMF,100.0,29.22
101.77,0.159,22.55,8.29,1.09,713,B,IPA,100.0,29.07
64.88,0.853,42.14,9.22,0.86,284,C,DMF,100.0,24.23
95.01,1.896,36.06,7.71,1.91,474,A,IPA,100.0,27.61
96.43,0.197,13.25,6.83,1.86,1192,None,MeCN,100.0,19.51
71.03,1.524,34.22,5.13,0.62,905,B,MeCN,100.0,15.67
91.27,0.589,53.03,5.84,0.4,251,None,MeCN,100.0,21.4
40.86,1.747,40.34,5.83,0.89,649,None,IPA,86.3,19.05
56.72,1.518,28.84,1.67,1.94,372,None,IPA,84.48,24.57
82.01,1.783,19.97,5.78,1.74,323,C,DMF,100.0,18.0
53.1,0.51,6.07,8.78,1.66,787,C,MeCN,100.0,23.37
53.27,1.109,15.43,7.53,2.07,706,A,IPA,100.0,22.4
106.9,1.581,1.66,8.26,0.69,943,B,DMF,95.17,26.27
119.13,0.567,59.21,4.82,0.85,1092,A,MeCN,100.0,27.2
84.48,0.538,14.13,6.0,0.11,447,None,IPA,100.0,13.85
107.13,0.152,49.08,1.78,2.17,1123,C,MeCN,100.0,34.11
119.23,1.921,10.95,4.76,1.46,718,C,THF,98.93,23.04
51.33,1.449,17.73,5.53,0.75,459,A,DMF,91.83,14.62
75.86,1.308,25.68,3.67,0.17,1046,A,MeCN,100.0,14.86
71.41,1.514,20.14,1.77,1.81,236,C,IPA,100.0,20.49
46.4,1.11,48.1,7.37,1.87,760,A,IPA,100.0,21.42
100.43,1.005,57.5,5.2,1.67,922,A,DMF,100.0,29.99
74.7,0.954,52.64,5.03,0.51,480,A,DMF,100.0,21.69
77.55,1.317,10.06,3.62,2.28,1063,A,MeCN,100.0,17.85
52.05,0.483,46.82,6.07,1.88,440,B,IPA,95.37,24.45
54.47,1.787,9.73,5.22,1.64,1040,None,DMF,75.43,21.54
112.57,1.642,54.89,5.53,1.63,279,A,MeCN,100.0,34.68
43.57,0.764,31.55,6.44,2.26,360,A,DMF,100.0,21.36
58.63,1.199,20.85,1.55,2.32,581,A,MeCN,100.0,17.01
63.36,0.368,10.26,9.22,1.49,1054,A,THF,100.0,26.33
79.22,1.947,1.7,2.1,1.04,345,A,DMF,100.0,21.87
86.92,1.815,15.63,5.33,0.91,1075,A,THF,100.0,19.93
79.46,1.852,54.93,3.26,2.05,430,C,DMF,100.0,27.31
46.73,0.731,48.04,5.95,1.61,653,B,THF,100.0,19.76
59.49,0.421,58.22,3.88,0.19,553,B,MeCN,100.0,22.79
107.49,0.502,6.94,8.81,0.36,318,A,THF,100.0,26.94
91.01,0.271,35.94,4.87,2.25,1144,C,THF,100.0,23.25
91.93,0.328,16.17,6.93,2.21,638,None,IPA,100.0,22.93
93.62,0.235,33.03,3.62,2.38,890,B,MeCN,100.0,24.45
101.03,1.981,19.91,1.66,1.07,775,None,THF,93.24,25.28
44.65,0.241,17.72,4.94,1.96,702,C,THF,100.0,18.73
69.33,0.352,34.86,6.06,2.07,817,A,DMF,100.0,19.87
83.16,1.672,11.82,5.41,0.79,1098,A,MeCN,100.0,13.08
67.08,1.202,28.68,9.68,0.36,899,None,THF,100.0,20.24
107.56,1.571,39.4,7.51,2.49,732,C,DMF,100.0,34.23
78.61,1.299,8.56,9.96,0.08,845,A,DMF,100.0,18.41
101.49,1.776,55.91,4.01,1.49,806,A,DMF,100.0,32.51
108.16,1.313,30.84,8.21,1.63,633,C,MeCN,100.0,25.98
80.38,1.092,49.35,6.22,1.7,825,None,MeCN,100.0,21.76
112.76,1.454,39.58,6.7,0.64,644,A,THF,100.0,25.48
86.97,0.95,42.89,9.88,1.8,958,None,IPA,100.0,25.47
108.02,0.758,43.25,7.06,0.54,1169,None,MeCN,100.0,24.86
67.25,0.989,52.63,9.14,2.07,1160,None,MeCN,100.0,28.97
79.91,0.422,37.2,7.67,0.55,1021,None,MeCN,100.0,15.81
82.51,1.613,17.41,2.58,1.74,802,C,IPA,100.0,20.33
48.4,0.595,6.87,7.45,1.96,949,A,THF,100.0,22.23
71.88,0.392,36.77,5.62,0.47,378,C,MeCN,100.0,13.06
113.39,0.568,4.91,9.31,0.59,679,A,MeCN,100.0,27.23
90.47,1.7,15.24,8.36,1.95,457,C,IPA,100.0,25.89
54.2,0.727,4.58,2.39,0.21,203,None,DMF,86.18,22.5
67.11,1.403,33.38,2.64,0.48,1167,None,DMF,92.38,22.74
55.33,1.727,10.46,2.09,1.14,1064,None,IPA,84.22,23.0
41.99,0.248,37.01,5.69,2.33,714,C,MeCN,100.0,21.13
114.2,1.554,47.66,2.19,1.4,454,B,MeCN,100.0,38.82
75.86,0.685,49.49,7.65,0.97,893,B,DMF,100.0,22.88
64.6,0.512,19.26,6.2,2.45,635,C,IPA,100.0,14.37
87.88,1.409,33.39,8.61,1.16,1003,A,MeCN,100.0,22.26
40.59,1.829,34.22,3.88,1.08,1200,B,DMF,90.36,19.6
62.24,0.661,28.9,5.91,1.03,549,B,THF,100.0,14.81
96.24,1.181,39.65,2.5,0.78,444,B,IPA,100.0,30.34
90.7,0.651,13.4,9.02,0.81,467,B,IPA,100.0,20.88
118.54,1.153,58.78,2.99,1.72,293,A,MeCN,100.0,38.1
89.63,1.282,6.79,2.37,0.1,594,None,DMF,100.0,22.66
78.2,1.26,49.92,3.24,1.7,217,None,DMF,96.61,27.02
100.91,1.285,36.05,8.35,0.5,314,B,MeCN,100.0,26.97
112.27,0.357,15.45,2.4,0.96,472,B,THF,100.0,30.68
97.66,1.418,44.99,6.72,0.37,360,B,MeCN,100.0,21.2
117.06,1.382,5.98,7.84,1.38,932,B,IPA,100.0,26.88
102.56,1.397,46.69,7.88,1.82,306,None,THF,100.0,35.4
109.34,0.241,35.81,3.12,0.89,1066,A,MeCN,100.0,29.62
49.13,0.949,7.53,2.02,0.41,421,A,THF,100.0,21.59
98.59,0.877,5.69,5.31,0.57,309,C,MeCN,100.0,14.58
75.21,0.265,45.3,3.22,2.05,210,B,THF,100.0,23.66
84.25,0.522,18.28,7.44,0.67,915,B,IPA,100.0,16.09
92.33,0.938,53.47,4.53,1.94,457,B,MeCN,100.0,27.57
117.59,1.512,45.96,5.32,0.83,709,A,DMF,100.0,29.16
118.77,0.55,42.19,2.46,0.47,312,C,IPA,100.0,32.73
63.06,1.677,17.44,6.32,1.82,1185,B,DMF,100.0,20.03
98.7,1.137,42.83,3.08,1.17,325,C,DMF,100.0,28.53
100.0,1.545,56.94,7.27,0.08,612,B,MeCN,100.0,26.38
67.72,0.998,6.4,2.1,2.4,1052,B,THF,100.0,21.97
49.91,1.048,20.24,9.8,0.37,445,None,IPA,91.4,20.0
43.28,1.277,14.85,7.32,0.88,467,B,THF,100.0,13.16
102.19,1.863,24.2,3.04,0.96,1008,None,THF,86.16,26.74
79.18,1.034,44.8,1.62,1.22,473,B,IPA,100.0,22.02
118.84,1.104,28.98,4.34,1.96,203,B,THF,100.0,27.91
77.2,1.244,34.67,2.8,0.02,628,B,IPA,100.0,19.34
118.23,1.501,19.54,3.36,2.33,213,A,DMF,99.82,30.31
72.93,0.237,9.34,8.92,1.61,1110,None,DMF,91.07,24.94
103.49,1.08,16.75,6.63,2.38,842,B,MeCN,100.0,23.13
46.79,1.015,51.72,3.0,2.04,783,B,THF,100.0,28.55
84.44,1.851,36.54,6.23,2.32,402,A,DMF,100.0,19.17
104.16,1.038,23.3,3.67,1.5,900,B,MeCN,100.0,23.63
113.98,0.99,47.6,9.8,0.89,877,C,THF,100.0,33.01
105.81,1.928,4.8,1.78,1.11,260,B,DMF,88.39,28.33
42.96,0.956,15.98,7.72,1.65,1081,None,MeCN,100.0,19.16
69.82,0.444,14.58,8.07,1.07,779,C,THF,100.0,18.76
43.9,0.512,59.14,2.07,1.83,992,A,DMF,100.0,34.26
48.74,0.281,42.66,2.96,0.23,463,B,IPA,86.79,22.68
94.02,0.101,37.45,4.77,2.07,322,C,MeCN,100.0,21.05
97.06,0.921,1.29,8.88,0.51,902,A,IPA,100.0,21.36
101.9,1.562,11.87,6.06,2.36,994,B,IPA,100.0,23.24
109.24,1.494,38.5,7.07,0.39,586,None,THF,89.8,24.51
99.15,0.161,23.4,8.16,0.32,224,C,IPA,100.0,23.8
104.07,1.183,55.53,8.54,2.03,1018,None,IPA,97.55,39.35
43.92,0.393,46.12,5.55,2.05,406,B,DMF,91.2,26.63
58.76,1.888,27.4,5.82,1.85,539,A,THF,99.17,21.6
89.75,0.418,45.22,7.6,2.4,828,None,DMF,100.0,31.39
108.65,1.291,58.55,3.74,0.68,300,A,THF,100.0,30.93
40.36,0.72,28.2,8.76,2.07,272,C,DMF,100.0,20.38
81.17,1.319,38.91,1.68,0.88,226,None,MeCN,100.0,22.34
94.18,0.883,55.2,3.16,1.34,1117,A,DMF,100.0,27.34
42.37,1.543,15.67,8.3,1.11,511,None,DMF,82.47,19.06
72.11,0.538,53.31,4.39,0.01,861,None,MeCN,100.0,19.94
111.65,1.821,6.76,2.77,1.44,1189,None,IPA,88.81,30.46
93.73,1.05,39.26,3.09,1.87,869,B,IPA,100.0,27.33
59.01,1.537,47.19,6.01,0.44,725,C,IPA,100.0,18.47
108.22,1.714,37.26,8.69,2.33,721,B,DMF,95.57,35.37
67.84,1.998,30.24,2.1,1.33,577,C,THF,100.0,24.21
108.27,0.525,37.42,1.76,0.45,800,B,MeCN,100.0,27.5
63.92,0.645,9.95,5.45,1.61,1159,A,THF,100.0,15.42
87.23,0.576,13.72,9.63,0.48,988,C,DMF,100.0,16.11
71.76,0.599,16.92,3.87,0.16,624,None,IPA,100.0,11.86
61.99,1.207,36.27,9.65,1.71,532,B,DMF,100.0,26.2
110.92,1.988,27.07,9.05,0.28,1084,None,THF,92.86,29.41
55.01,1.982,15.42,3.91,0.27,336,C,DMF,92.11,15.6
46.78,1.101,53.09,8.44,1.85,1050,None,DMF,85.78,25.96
67.35,1.314,23.06,7.33,0.14,455,None,MeCN,100.0,15.04
97.41,1.734,27.32,5.85,2.02,916,A,DMF,100.0,22.93
104.59,1.873,25.17,5.09,1.99,1006,B,MeCN,100.0,26.65
119.9,0.487,11.73,8.43,0.35,677,None,DMF,95.63,26.07
63.71,1.104,44.17,8.24,1.3,392,A,DMF,100.0,24.52
72.64,1.682,27.46,7.93,0.24,1045,A,IPA,100.0,17.19
50.95,0.676,1.96,9.99,1.58,568,B,MeCN,100.0,24.94
85.99,0.936,57.88,5.57,0.16,521,C,IPA,100.0,20.86
119.81,1.973,49.13,8.36,2.36,710,B,IPA,100.0,38.36
96.07,1.972,43.69,8.83,0.52,635,B,THF,100.0,29.82
87.62,1.822,52.28,3.3,1.71,883,A,MeCN,100.0,25.57
71.39,1.617,54.5,1.86,0.32,337,C,MeCN,100.0,21.74
113.22,0.611,20.91,4.94,0.52,636,None,IPA,100.0,17.24
79.75,0.71,37.05,8.78,1.13,1092,None,DMF,100.0,26.0
50.75,1.14,36.92,3.96,1.43,236,None,IPA,86.81,24.16
69.23,1.165,16.77,7.45,2.5,657,A,IPA,100.0,19.58
45.37,1.06,14.1,1.56,0.06,861,A,MeCN,100.0,15.61
56.16,1.31,7.72,4.52,0.0,1088,C,IPA,100.0,11.28
41.41,0.876,39.9,6.73,0.88,794,B,IPA,100.0,16.37
76.26,1.523,47.07,2.6,0.92,1024,A,IPA,100.0,28.9
90.76,0.734,45.9,9.12,2.21,423,None,IPA,100.0,30.85
67.46,0.728,19.66,2.83,2.28,553,B,IPA,100.0,21.21
73.63,0.342,13.11,9.23,2.2,1142,A,THF,100.0,19.85
116.74,0.459,27.76,3.34,0.36,1086,C,IPA,100.0,27.83
100.16,1.716,33.26,9.95,1.03,758,A,DMF,100.0,27.66
83.27,0.948,55.23,6.64,1.86,675,B,THF,100.0,20.65
62.76,0.533,52.61,2.22,0.78,651,C,THF,100.0,25.03
111.76,1.543,55.05,2.05,1.66,259,A,THF,100.0,36.51
58.81,1.153,51.17,2.14,0.59,1092,A,DMF,100.0,27.01
66.03,0.14,57.91,6.51,0.81,1018,B,IPA,99.79,22.07
112.73,0.701,28.46,8.38,2.15,656,A,DMF,100.0,31.33
82.36,0.436,3.8,4.93,0.63,479,None,MeCN,100.0,14.23
99.39,1.346,5.93,5.28,2.41,543,A,MeCN,100.0,23.65
87.26,0.623,24.03,6.51,0.77,323,None,DMF,100.0,17.3
92.28,0.223,16.2,6.03,0.06,922,B,DMF,100.0,15.48
63.95,0.204,11.03,7.35,0.64,757,None,MeCN,95.69,20.99
59.31,1.205,57.24,5.51,0.43,434,A,THF,100.0,21.23
65.8,0.141,12.53,7.57,1.27,823,C,THF,100.0,16.27
52.44,1.713,57.6,9.98,0.28,1179,B,MeCN,88.55,23.76
109.95,0.395,45.89,4.48,1.57,322,B,THF,99.96,30.83
62.66,1.252,38.82,1.6,2.19,658,B,THF,100.0,21.65
84.92,0.945,40.89,2.57,0.91,694,A,THF,100.0,24.47
103.36,0.941,20.56,6.2,0.42,367,B,THF,100.0,16.54
102.71,0.236,39.14,4.43,1.0,732,None,DMF,92.36,26.76
75.07,1.625,12.01,9.49,1.96,806,B,MeCN,100.0,19.24
78.1,1.797,56.32,6.83,1.48,357,B,THF,100.0,23.52
119.58,0.121,18.81,5.92,0.25,355,C,IPA,100.0,23.2
93.97,0.439,16.06,8.28,1.34,1056,C,DMF,100.0,27.97
105.17,1.817,42.96,3.7,1.17,511,None,IPA,84.47,28.4
112.2,1.144,39.73,8.47,0.82,830,A,DMF,100.0,31.39
103.01,0.385,27.63,1.53,0.28,827,B,THF,100.0,22.5
54.81,0.485,38.31,6.77,2.45,1039,A,MeCN,100.0,21.47
84.97,1.354,10.41,9.45,0.44,940,B,DMF,100.0,17.47
48.15,1.477,40.73,8.2,0.48,1041,C,MeCN,100.0,23.38
92.23,1.239,16.97,8.76,0.36,825,A,IPA,100.0,20.44
116.43,1.911,17.1,4.87,1.43,649,C,IPA,100.0,29.21
81.02,1.039,10.57,8.51,1.11,594,C,THF,100.0,19.41
74.64,0.671,20.61,6.18,0.62,579,C,IPA,100.0,10.1
42.87,1.007,20.54,6.76,1.07,618,None,THF,100.0,14.07
116.78,0.783,27.8,2.0,1.68,329,A,THF,100.0,29.84
48.24,0.526,12.23,3.21,0.7,624,None,MeCN,90.82,19.53
43.29,0.187,12.39,6.18,2.29,589,None,MeCN,87.54,14.87
59.69,0.769,32.96,2.0,0.77,235,None,IPA,100.0,18.94
45.24,1.452,8.6,7.8,0.5,475,A,MeCN,100.0,15.52
76.41,0.135,41.64,8.64,2.39,952,None,DMF,89.26,29.12
81.29,0.934,56.69,9.32,2.03,778,A,IPA,100.0,31.65
65.01,1.324,26.18,2.37,0.86,1006,C,IPA,100.0,22.54
44.08,1.26,54.17,9.49,2.1,743,C,THF,100.0,30.52
48.93,1.576,6.8,2.07,1.3,1054,C,DMF,84.01,22.09
70.76,1.64,3.53,5.53,0.87,996,None,THF,87.73,15.26
44.84,1.452,43.56,8.64,2.1,298,B,THF,93.72,26.66
95.86,0.295,45.9,2.1,1.88,1177,B,DMF,100.0,29.63
56.56,1.003,50.74,1.65,0.74,215,None,DMF,92.89,26.54
64.17,1.246,4.35,1.71,1.52,797,C,MeCN,100.0,17.61
71.53,0.567,46.84,5.85,0.92,993,A,MeCN,100.0,18.84
73.33,0.181,23.22,8.4,0.0,532,C,IPA,100.0,17.68
40.13,0.525,18.9,2.58,2.4,799,None,DMF,83.58,23.98
48.97,0.964,11.21,2.56,1.37,562,B,DMF,91.4,24.3
109.02,0.886,59.76,6.33,1.5,261,None,THF,100.0,33.58
40.1,0.436,4.76,3.49,1.5,208,C,THF,100.0,18.84
80.65,1.666,49.79,7.71,1.38,295,B,MeCN,100.0,23.89
79.16,1.859,38.73,9.57,0.73,298,None,THF,93.0,22.67
66.65,0.483,44.37,8.01,2.43,811,None,MeCN,100.0,25.08
74.51,1.866,42.99,8.96,1.55,726,A,THF,99.59,27.26
102.45,0.134,51.65,5.92,1.68,655,None,MeCN,98.84,35.82
107.3,1.857,11.84,8.57,1.14,892,None,MeCN,93.69,29.05
60.83,1.909,1.05,3.05,0.72,217,C,DMF,94.09,21.16
65.8,0.123,36.31,2.08,0.16,471,C,DMF,100.0,20.4
59.4,1.55,21.88,7.08,0.88,977,B,THF,100.0,18.66
78.39,1.943,8.3,1.94,0.44,1110,C,THF,100.0,18.5
94.66,1.821,11.98,9.09,1.66,638,B,MeCN,100.0,27.9
58.26,1.944,20.57,7.38,2.2,281,None,THF,86.68,22.44
66.46,1.146,5.14,9.59,0.76,999,B,THF,100.0,19.73
114.43,0.248,4.36,4.17,0.83,1085,None,THF,80.14,25.83
43.89,1.715,55.05,5.63,1.68,614,C,IPA,100.0,24.82
76.86,1.266,19.41,7.8,0.37,443,A,IPA,100.0,15.26
96.92,1.268,58.95,3.56,2.32,244,None,DMF,94.4,34.75
52.04,0.893,57.9,6.11,0.91,791,A,IPA,100.0,21.12
43.79,1.186,9.41,7.11,0.25,1110,B,DMF,100.0,12.3
51.06,0.392,43.18,9.82,0.44,878,C,DMF,93.47,23.91
113.51,1.506,36.45,7.83,2.33,517,B,DMF,95.5,29.61
40.74,0.243,41.75,2.5,0.62,843,None,THF,87.24,25.34
55.07,1.487,6.68,5.54,1.66,1032,C,MeCN,100.0,16.25
42.5,1.713,12.13,6.5,0.39,676,C,MeCN,100.0,11.96
